repository	default_branch	default_sha	config_entries	config_blob_oid	schema	generator_revision	key_config_observation
tailrocks/homebrew-holla	main	cc25db8fd911cdf965652d3b094c10d006d056ee	velnor-workflow.toml	5a21e84e0f064d994818b8e3b2567a723579f307	1	b9c3156cdb88e63c11b9e595a3e694b02238c09a	config present; Homebrew workflow output present
tailrocks/holla-apt	main	0636074d4a16be4771685bd95bf2cec739cf359c	NO_WORKFLOWS_REQUIRED.md,velnor-workflow.toml	0716e7583cb8f498ef366ac609ac02cc16e6ccdc	1	b9c3156cdb88e63c11b9e595a3e694b02238c09a	profile=apt-repository;NO_WORKFLOWS_REQUIRED marker present
tailrocks/holla	main	027dac6be2070b7e836c1ca123861fcbade72003	velnor-workflow.toml	9d0eda54ffffe16352063b6da4a4805458993d0e	1	b9c3156cdb88e63c11b9e595a3e694b02238c09a	config present; provider/release fields not in selected key lines
tailrocks/homebrew-velnor	main	7af1249f3d69c9f2e548583cdc9f3e737da41b81	-	-	-	-	no config
tailrocks/tailrocks-typescript-skills	main	f434715f7c664af431f0be62982aa379400102de	-	-	-	-	no config
tailrocks/tailrocks-skill-authoring-skills	main	9e25890fd63f7ca6c587490ba7cc432f5fdd98d6	-	-	-	-	no config
tailrocks/tailrocks-rust-skills	main	bcc31b1d935dac4de191a6b71b3091f628d204c0	-	-	-	-	no config
tailrocks/tailrocks-roadmap-skills	main	66d9c79f6472ddace0e265335dc8dd36cdeb8a86	-	-	-	-	no config
tailrocks/tailrocks-pull-request-skills	main	2b4f71f49fd27061e64d16b2b7f83d9bd2df5612	-	-	-	-	no config
tailrocks/tailrocks-open-source-skills	main	6e77a448f9776e837bfc9ab18b833bd5fdc26d3a	-	-	-	-	no config
tailrocks/tailrocks-macos-skills	main	1fb177a9a4dc16120b4bc7ca9c0eb4e68f9119d2	-	-	-	-	no config
tailrocks/tailrocks-code-quality-skills	main	0b9a1eaa83ca2ad9b2c895741648e7cde10f6189	-	-	-	-	no config
jackin-project/jackin	main	665f7e3735c1f76ce5ee8a9e27c676381a474cfb	velnor-workflow.toml	1de662b224db5b23fb7095fbffd2acf15acd08f1	1	06050c9fa58fec8b5fd2c11c46756971e5270ec3	profiles=desktop-merge,desktop-scheduled,renovate-upstream-sources;kind=swift,tasks
jackin-project/jackin-agent-smith	main	08cb1c2f82519bab1aa0c164879955a84d35463b	velnor-workflow.toml	1bfb1f6fcff56c66ae892d9882acd14f88fe97f3	1	b9c3156cdb88e63c11b9e595a3e694b02238c09a	config present; Docker workflow output present
jackin-project/homebrew-tap	main	f1669391582f92c95da1aa5958de4397dfedca09	velnor-workflow.toml	b5f224527b3ad243ccab6321cc1e4759be14814d	1	b9c3156cdb88e63c11b9e595a3e694b02238c09a	kind=homebrew
jackin-project/jackin-the-architect	main	d0956f0192d2605cbd26d84bf8911211a727b6c0	velnor-workflow.toml	2764e6085713dd0fe69eb03fdb7e4afb9ffbfc80	1	541d8926737213542156ee32e420010817f8a323	config present; Docker workflow output present
jackin-project/jackin-sentinel	main	a668b869b9a31622f3088c1d891c45716e94cff2	velnor-workflow.toml	78357b23d483502a2bca6b5f51aa2b04ac682cea	1	541d8926737213542156ee32e420010817f8a323	config present; Docker workflow output present
jackin-project/jackin-role-action	main	8882236041e149153491ada7091382e76be1c313	velnor-workflow.toml	aa5624add889b0da8d27e8a3bc3d49cbe728a23d	1	541d8926737213542156ee32e420010817f8a323	kind=docs; action/role audit required
